length	width	species	stage	species.stage
457	26	C. inopinata	Dauer	C. inopinata Dauer
349	19	C. inopinata	Dauer	C. inopinata Dauer
524	26	C. inopinata	Dauer	C. inopinata Dauer
431	21	C. inopinata	Dauer	C. inopinata Dauer
480	21	C. inopinata	Dauer	C. inopinata Dauer
466	30	C. inopinata	Dauer	C. inopinata Dauer
447	30	C. inopinata	Dauer	C. inopinata Dauer
448	27	C. inopinata	Dauer	C. inopinata Dauer
452	28	C. inopinata	Dauer	C. inopinata Dauer
502	23	C. inopinata	Dauer	C. inopinata Dauer
443	34	C. inopinata	Dauer	C. inopinata Dauer
428	30	C. inopinata	Dauer	C. inopinata Dauer
467	29	C. inopinata	Dauer	C. inopinata Dauer
572	12	C. elegans	Dauer	C. elegans Dauer
475	23	C. elegans	Dauer	C. elegans Dauer
386	18	C. elegans	Dauer	C. elegans Dauer
485	23	C. elegans	Dauer	C. elegans Dauer
527	21	C. elegans	Dauer	C. elegans Dauer
478	23	C. elegans	Dauer	C. elegans Dauer
551	24	C. elegans	Dauer	C. elegans Dauer
392	17	C. elegans	Dauer	C. elegans Dauer
454	17	C. elegans	Dauer	C. elegans Dauer
522	21	C. elegans	Dauer	C. elegans Dauer
491	22	C. elegans	Dauer	C. elegans Dauer
487	14	C. elegans	Dauer	C. elegans Dauer
409	15	C. elegans	Dauer	C. elegans Dauer
496	17	C. elegans	Dauer	C. elegans Dauer
442	16	C. elegans	Dauer	C. elegans Dauer
461	16	C. elegans	Dauer	C. elegans Dauer
513	17	C. elegans	Dauer	C. elegans Dauer
439	19	C. elegans	Dauer	C. elegans Dauer
549	20	C. elegans	Dauer	C. elegans Dauer
429	15	C. elegans	Dauer	C. elegans Dauer
398	13	C. elegans	Dauer	C. elegans Dauer
482	23	C. elegans	Dauer	C. elegans Dauer
491	15	C. elegans	Dauer	C. elegans Dauer
576	19	C. elegans	Dauer	C. elegans Dauer
379	9	C. elegans	Dauer	C. elegans Dauer
481	16	C. elegans	Dauer	C. elegans Dauer
433	15	C. elegans	Dauer	C. elegans Dauer
394	14	C. elegans	Dauer	C. elegans Dauer
493	16	C. elegans	Dauer	C. elegans Dauer
421	18	C. elegans	Dauer	C. elegans Dauer
369	16	C. elegans	Dauer	C. elegans Dauer
384	16	C. elegans	Dauer	C. elegans Dauer
413	21	C. elegans	Dauer	C. elegans Dauer
490	23	C. elegans	Dauer	C. elegans Dauer
426	15	C. elegans	Dauer	C. elegans Dauer
662	22	C. elegans	Dauer	C. elegans Dauer
385	10	C. elegans	Dauer	C. elegans Dauer
503	12	C. elegans	Dauer	C. elegans Dauer
391	16	C. elegans	Dauer	C. elegans Dauer
394	17	C. elegans	Dauer	C. elegans Dauer
410	22	C. elegans	Dauer	C. elegans Dauer
465	18	C. elegans	Dauer	C. elegans Dauer
527	20	C. elegans	Dauer	C. elegans Dauer
385	20	C. elegans	Dauer	C. elegans Dauer
413	23	C. elegans	Dauer	C. elegans Dauer
457	16	C. elegans	Dauer	C. elegans Dauer
431	14	C. elegans	Dauer	C. elegans Dauer
434	15	C. elegans	Dauer	C. elegans Dauer
471	16	C. elegans	Dauer	C. elegans Dauer
411	17	C. elegans	Dauer	C. elegans Dauer
422	16	C. elegans	Dauer	C. elegans Dauer
499	14	C. elegans	Dauer	C. elegans Dauer
519	17	C. elegans	Dauer	C. elegans Dauer
426	15	C. elegans	Dauer	C. elegans Dauer
473	16	C. elegans	Dauer	C. elegans Dauer
520	19	C. elegans	Dauer	C. elegans Dauer
394	10	C. elegans	Dauer	C. elegans Dauer
496	21	C. elegans	Dauer	C. elegans Dauer
578	21	C. elegans	Dauer	C. elegans Dauer
510	17	C. elegans	Dauer	C. elegans Dauer
439	18	C. elegans	Dauer	C. elegans Dauer
386	14	C. elegans	Dauer	C. elegans Dauer
557	21	C. elegans	Dauer	C. elegans Dauer
421	16	C. elegans	Dauer	C. elegans Dauer
438	20	C. elegans	Dauer	C. elegans Dauer
391	12	C. elegans	Dauer	C. elegans Dauer
333	17	C. elegans	Dauer	C. elegans Dauer
492	14	C. elegans	Dauer	C. elegans Dauer
498	24	C. elegans	Dauer	C. elegans Dauer
355	17	C. elegans	Dauer	C. elegans Dauer
488	22	C. elegans	Dauer	C. elegans Dauer
661	28	C. elegans	Dauer	C. elegans Dauer
354	18	C. elegans	Dauer	C. elegans Dauer
353	16	C. elegans	Dauer	C. elegans Dauer
432	16	C. elegans	Dauer	C. elegans Dauer
592	21	C. elegans	Dauer	C. elegans Dauer
498	16	C. elegans	Dauer	C. elegans Dauer
405	19	C. elegans	Dauer	C. elegans Dauer
417	23	C. elegans	Dauer	C. elegans Dauer
415	15	C. elegans	Dauer	C. elegans Dauer
445	19	C. elegans	Dauer	C. elegans Dauer
540	17	C. elegans	Dauer	C. elegans Dauer
399	17	C. elegans	Dauer	C. elegans Dauer
377	17	C. elegans	Dauer	C. elegans Dauer
374	15	C. elegans	Dauer	C. elegans Dauer
394	13	C. elegans	Dauer	C. elegans Dauer
386	17	C. elegans	Dauer	C. elegans Dauer
391	23	C. elegans	Dauer	C. elegans Dauer
444	17	C. elegans	Dauer	C. elegans Dauer
444	17	C. elegans	Dauer	C. elegans Dauer
373	13	C. elegans	Dauer	C. elegans Dauer
441	20	C. elegans	Dauer	C. elegans Dauer
431	18	C. elegans	Dauer	C. elegans Dauer
491	19	C. elegans	Dauer	C. elegans Dauer
556	26	C. elegans	Dauer	C. elegans Dauer
396	23	C. elegans	Dauer	C. elegans Dauer
462	15	C. elegans	Dauer	C. elegans Dauer
406	18	C. elegans	Dauer	C. elegans Dauer
509	14	C. elegans	Dauer	C. elegans Dauer
460	15	C. elegans	Dauer	C. elegans Dauer
471	18	C. elegans	Dauer	C. elegans Dauer
441	18	C. elegans	Dauer	C. elegans Dauer
516	21	C. elegans	Dauer	C. elegans Dauer
396	21	C. elegans	Dauer	C. elegans Dauer
566	21	C. elegans	Dauer	C. elegans Dauer
444	17	C. elegans	Dauer	C. elegans Dauer
532	24	C. elegans	Dauer	C. elegans Dauer
448	19	C. elegans	Dauer	C. elegans Dauer
493	19	C. elegans	Dauer	C. elegans Dauer
379	21	C. elegans	Dauer	C. elegans Dauer
565	20	C. elegans	Dauer	C. elegans Dauer
391	23	C. elegans	Dauer	C. elegans Dauer
461	16	C. elegans	Dauer	C. elegans Dauer
447	18	C. inopinata	L2	C. inopinata L2
390	21	C. inopinata	L2	C. inopinata L2
479	23	C. inopinata	L2	C. inopinata L2
328	17	C. inopinata	L2	C. inopinata L2
464	25	C. inopinata	L2	C. inopinata L2
545	30	C. inopinata	L2	C. inopinata L2
460	20	C. inopinata	L2	C. inopinata L2
479	25	C. inopinata	L2	C. inopinata L2
384	18	C. inopinata	L2	C. inopinata L2
552	29	C. inopinata	L2	C. inopinata L2
546	35	C. inopinata	L2	C. inopinata L2
488	22	C. inopinata	L2	C. inopinata L2
509	26	C. inopinata	L2	C. inopinata L2
399	19	C. inopinata	L2	C. inopinata L2
376	20	C. inopinata	L2	C. inopinata L2
361	20	C. inopinata	L2	C. inopinata L2
446	22	C. inopinata	L2	C. inopinata L2
364	21	C. inopinata	L2	C. inopinata L2
364	18	C. inopinata	L2	C. inopinata L2
370	18	C. inopinata	L2	C. inopinata L2
466	27	C. inopinata	L2	C. inopinata L2
416	24	C. inopinata	L2	C. inopinata L2
512	22	C. inopinata	L3	C. inopinata L3
585	31	C. inopinata	L3	C. inopinata L3
754	37	C. inopinata	L3	C. inopinata L3
794	39	C. inopinata	L3	C. inopinata L3
588	32	C. inopinata	L3	C. inopinata L3
740	36	C. inopinata	L3	C. inopinata L3
787	33	C. inopinata	L3	C. inopinata L3
679	31	C. inopinata	L3	C. inopinata L3
722	42	C. inopinata	L3	C. inopinata L3
663	33	C. inopinata	L3	C. inopinata L3
849	39	C. inopinata	L3	C. inopinata L3
748	38	C. inopinata	L3	C. inopinata L3
568	27	C. inopinata	L3	C. inopinata L3
572	27	C. inopinata	L3	C. inopinata L3
568	30	C. inopinata	L3	C. inopinata L3
721	29	C. inopinata	L3	C. inopinata L3
549	38	C. inopinata	L3	C. inopinata L3
574	32	C. inopinata	L3	C. inopinata L3
538	28	C. inopinata	L3	C. inopinata L3
748	28	C. inopinata	L3	C. inopinata L3
860	40	C. inopinata	L3	C. inopinata L3
733	42	C. inopinata	L3	C. inopinata L3
790	35	C. inopinata	L3	C. inopinata L3
698	31	C. inopinata	L3	C. inopinata L3
781	37	C. inopinata	L3	C. inopinata L3
568	25	C. inopinata	L3	C. inopinata L3
800	44	C. inopinata	L3	C. inopinata L3
594	31	C. inopinata	L3	C. inopinata L3
797	38	C. inopinata	L3	C. inopinata L3
752	37	C. inopinata	L3	C. inopinata L3
839	40	C. inopinata	L3	C. inopinata L3
723	32	C. inopinata	L3	C. inopinata L3
812	40	C. inopinata	L3	C. inopinata L3
558	31	C. inopinata	L3	C. inopinata L3
648	32	C. inopinata	L3	C. inopinata L3
694	32	C. inopinata	L3	C. inopinata L3
549	28	C. inopinata	L3	C. inopinata L3
816	38	C. inopinata	L3	C. inopinata L3
590	32	C. inopinata	L3	C. inopinata L3
685	33	C. inopinata	L3	C. inopinata L3
1701	66	C. inopinata	Gravid adult	C. inopinata Gravid adult
1619	62	C. inopinata	Gravid adult	C. inopinata Gravid adult
1704	74	C. inopinata	Gravid adult	C. inopinata Gravid adult
1751	59	C. inopinata	Gravid adult	C. inopinata Gravid adult
1586	64	C. inopinata	Gravid adult	C. inopinata Gravid adult
1770	64	C. inopinata	Gravid adult	C. inopinata Gravid adult
1498	63	C. inopinata	Gravid adult	C. inopinata Gravid adult
1821	65	C. inopinata	Gravid adult	C. inopinata Gravid adult
1542	73	C. inopinata	Gravid adult	C. inopinata Gravid adult
1763	65	C. inopinata	Gravid adult	C. inopinata Gravid adult
1745	70	C. inopinata	Gravid adult	C. inopinata Gravid adult
1512	77	C. inopinata	Gravid adult	C. inopinata Gravid adult
1480	72	C. inopinata	Gravid adult	C. inopinata Gravid adult
1624	70	C. inopinata	Gravid adult	C. inopinata Gravid adult
1438	88	C. inopinata	Gravid adult	C. inopinata Gravid adult
1537	61	C. inopinata	Gravid adult	C. inopinata Gravid adult
1553	75	C. inopinata	Gravid adult	C. inopinata Gravid adult
1596	78	C. inopinata	Gravid adult	C. inopinata Gravid adult
1491	69	C. inopinata	Gravid adult	C. inopinata Gravid adult
1596	72	C. inopinata	Gravid adult	C. inopinata Gravid adult
1797	61	C. inopinata	Gravid adult	C. inopinata Gravid adult
1634	72	C. inopinata	Gravid adult	C. inopinata Gravid adult
1503	76	C. inopinata	Gravid adult	C. inopinata Gravid adult
1569	68	C. inopinata	Gravid adult	C. inopinata Gravid adult
1685	74	C. inopinata	Gravid adult	C. inopinata Gravid adult
1319	63	C. inopinata	Gravid adult	C. inopinata Gravid adult
1661	73	C. inopinata	Gravid adult	C. inopinata Gravid adult
1505	73	C. inopinata	Gravid adult	C. inopinata Gravid adult
1674	66	C. inopinata	Gravid adult	C. inopinata Gravid adult
1536	71	C. inopinata	Gravid adult	C. inopinata Gravid adult
1487	70	C. inopinata	Gravid adult	C. inopinata Gravid adult
1768	67	C. inopinata	Gravid adult	C. inopinata Gravid adult
1282	39	C. inopinata	Young adult	C. inopinata Young adult
1474	52	C. inopinata	Young adult	C. inopinata Young adult
1218	54	C. inopinata	Young adult	C. inopinata Young adult
1334	57	C. inopinata	Young adult	C. inopinata Young adult
1257	49	C. inopinata	Young adult	C. inopinata Young adult
1127	46	C. inopinata	Young adult	C. inopinata Young adult
1212	52	C. inopinata	Young adult	C. inopinata Young adult
1321	50	C. inopinata	Young adult	C. inopinata Young adult
1410	55	C. inopinata	Young adult	C. inopinata Young adult
1296	49	C. inopinata	Young adult	C. inopinata Young adult
1490	65	C. inopinata	Young adult	C. inopinata Young adult
1419	65	C. inopinata	Young adult	C. inopinata Young adult
1582	62	C. inopinata	Young adult	C. inopinata Young adult
1510	54	C. inopinata	Young adult	C. inopinata Young adult
1432	60	C. inopinata	Young adult	C. inopinata Young adult
1450	67	C. inopinata	Young adult	C. inopinata Young adult
324	14	C. inopinata	L1	C. inopinata L1
306	16	C. inopinata	L1	C. inopinata L1
339	18	C. inopinata	L1	C. inopinata L1
266	16	C. inopinata	L1	C. inopinata L1
312	16	C. inopinata	L1	C. inopinata L1
322	16	C. inopinata	L1	C. inopinata L1
345	19	C. inopinata	L1	C. inopinata L1
332	16	C. inopinata	L1	C. inopinata L1
336	17	C. inopinata	L1	C. inopinata L1
327	19	C. inopinata	L1	C. inopinata L1
291	17	C. inopinata	L1	C. inopinata L1
319	17	C. inopinata	L1	C. inopinata L1
311	14	C. inopinata	L1	C. inopinata L1
308	14	C. inopinata	L1	C. inopinata L1
317	17	C. inopinata	L1	C. inopinata L1
311	17	C. inopinata	L1	C. inopinata L1
336	18	C. inopinata	L1	C. inopinata L1
338	16	C. inopinata	L1	C. inopinata L1
331	20	C. inopinata	L1	C. inopinata L1
336	18	C. inopinata	L1	C. inopinata L1
223	11	C. elegans	L1	C. elegans L1
239	14	C. elegans	L1	C. elegans L1
245	15	C. elegans	L1	C. elegans L1
238	12	C. elegans	L1	C. elegans L1
254	14	C. elegans	L1	C. elegans L1
209	14	C. elegans	L1	C. elegans L1
232	18	C. elegans	L1	C. elegans L1
232	16	C. elegans	L1	C. elegans L1
219	16	C. elegans	L1	C. elegans L1
266	15	C. elegans	L1	C. elegans L1
228	16	C. elegans	L1	C. elegans L1
218	17	C. elegans	L1	C. elegans L1
221	14	C. elegans	L1	C. elegans L1
264	12	C. elegans	L1	C. elegans L1
220	14	C. elegans	L1	C. elegans L1
245	15	C. elegans	L1	C. elegans L1
251	16	C. elegans	L1	C. elegans L1
254	14	C. elegans	L1	C. elegans L1
251	16	C. elegans	L1	C. elegans L1
216	17	C. elegans	L1	C. elegans L1
218	14	C. elegans	L1	C. elegans L1
256	14	C. elegans	L1	C. elegans L1
283	16	C. elegans	L1	C. elegans L1
229	21	C. elegans	L1	C. elegans L1
252	16	C. elegans	L1	C. elegans L1
272	16	C. elegans	L1	C. elegans L1
201	19	C. elegans	L1	C. elegans L1
276	14	C. elegans	L1	C. elegans L1
281	16	C. elegans	L1	C. elegans L1
286	18	C. elegans	L1	C. elegans L1
280	17	C. elegans	L1	C. elegans L1
247	16	C. elegans	L1	C. elegans L1
270	18	C. elegans	L1	C. elegans L1
238	18	C. elegans	L1	C. elegans L1
244	16	C. elegans	L1	C. elegans L1
314	15	C. elegans	L1	C. elegans L1
254	16	C. elegans	L1	C. elegans L1
280	15	C. elegans	L1	C. elegans L1
250	17	C. elegans	L1	C. elegans L1
256	16	C. elegans	L1	C. elegans L1
376	22	C. elegans	L2	C. elegans L2
376	20	C. elegans	L2	C. elegans L2
342	23	C. elegans	L2	C. elegans L2
384	22	C. elegans	L2	C. elegans L2
387	22	C. elegans	L2	C. elegans L2
376	24	C. elegans	L2	C. elegans L2
472	24	C. elegans	L2	C. elegans L2
387	24	C. elegans	L2	C. elegans L2
360	20	C. elegans	L2	C. elegans L2
484	23	C. elegans	L2	C. elegans L2
356	22	C. elegans	L2	C. elegans L2
341	24	C. elegans	L2	C. elegans L2
369	24	C. elegans	L2	C. elegans L2
483	25	C. elegans	L2	C. elegans L2
455	26	C. elegans	L2	C. elegans L2
426	24	C. elegans	L2	C. elegans L2
358	26	C. elegans	L2	C. elegans L2
403	24	C. elegans	L2	C. elegans L2
368	28	C. elegans	L2	C. elegans L2
379	25	C. elegans	L2	C. elegans L2
377	24	C. elegans	L2	C. elegans L2
427	23	C. elegans	L2	C. elegans L2
336	20	C. elegans	L2	C. elegans L2
398	26	C. elegans	L2	C. elegans L2
378	22	C. elegans	L2	C. elegans L2
404	21	C. elegans	L2	C. elegans L2
370	22	C. elegans	L2	C. elegans L2
382	20	C. elegans	L2	C. elegans L2
428	23	C. elegans	L2	C. elegans L2
388	27	C. elegans	L2	C. elegans L2
354	24	C. elegans	L2	C. elegans L2
347	22	C. elegans	L2	C. elegans L2
349	21	C. elegans	L2	C. elegans L2
377	25	C. elegans	L2	C. elegans L2
322	24	C. elegans	L2	C. elegans L2
365	24	C. elegans	L2	C. elegans L2
330	18	C. elegans	L2	C. elegans L2
400	25	C. elegans	L2	C. elegans L2
406	23	C. elegans	L2	C. elegans L2
352	23	C. elegans	L2	C. elegans L2
535	33	C. elegans	L3	C. elegans L3
512	33	C. elegans	L3	C. elegans L3
506	32	C. elegans	L3	C. elegans L3
488	28	C. elegans	L3	C. elegans L3
525	31	C. elegans	L3	C. elegans L3
522	32	C. elegans	L3	C. elegans L3
510	28	C. elegans	L3	C. elegans L3
642	39	C. elegans	L3	C. elegans L3
497	32	C. elegans	L3	C. elegans L3
503	31	C. elegans	L3	C. elegans L3
550	33	C. elegans	L3	C. elegans L3
551	32	C. elegans	L3	C. elegans L3
578	31	C. elegans	L3	C. elegans L3
455	28	C. elegans	L3	C. elegans L3
538	32	C. elegans	L3	C. elegans L3
539	32	C. elegans	L3	C. elegans L3
403	28	C. elegans	L3	C. elegans L3
539	32	C. elegans	L3	C. elegans L3
403	28	C. elegans	L3	C. elegans L3
533	28	C. elegans	L3	C. elegans L3
522	28	C. elegans	L3	C. elegans L3
495	29	C. elegans	L3	C. elegans L3
505	28	C. elegans	L3	C. elegans L3
458	31	C. elegans	L3	C. elegans L3
481	34	C. elegans	L3	C. elegans L3
490	30	C. elegans	L3	C. elegans L3
550	29	C. elegans	L3	C. elegans L3
518	32	C. elegans	L3	C. elegans L3
526	30	C. elegans	L3	C. elegans L3
516	28	C. elegans	L3	C. elegans L3
508	33	C. elegans	L3	C. elegans L3
639	39	C. elegans	L3	C. elegans L3
507	31	C. elegans	L3	C. elegans L3
530	34	C. elegans	L3	C. elegans L3
544	29	C. elegans	L3	C. elegans L3
526	29	C. elegans	L3	C. elegans L3
722	48	C. elegans	L4	C. elegans L4
714	45	C. elegans	L4	C. elegans L4
743	50	C. elegans	L4	C. elegans L4
737	53	C. elegans	L4	C. elegans L4
809	44	C. elegans	L4	C. elegans L4
763	48	C. elegans	L4	C. elegans L4
751	44	C. elegans	L4	C. elegans L4
738	42	C. elegans	L4	C. elegans L4
749	47	C. elegans	L4	C. elegans L4
755	40	C. elegans	L4	C. elegans L4
748	47	C. elegans	L4	C. elegans L4
737	49	C. elegans	L4	C. elegans L4
794	51	C. elegans	L4	C. elegans L4
753	47	C. elegans	L4	C. elegans L4
808	50	C. elegans	L4	C. elegans L4
807	48	C. elegans	L4	C. elegans L4
778	45	C. elegans	L4	C. elegans L4
726	47	C. elegans	L4	C. elegans L4
870	50	C. elegans	L4	C. elegans L4
690	45	C. elegans	L4	C. elegans L4
674	38	C. elegans	L4	C. elegans L4
689	37	C. elegans	L4	C. elegans L4
764	43	C. elegans	L4	C. elegans L4
774	38	C. elegans	L4	C. elegans L4
706	41	C. elegans	L4	C. elegans L4
790	46	C. elegans	L4	C. elegans L4
751	42	C. elegans	L4	C. elegans L4
678	40	C. elegans	L4	C. elegans L4
838	50	C. elegans	L4	C. elegans L4
767	56	C. elegans	L4	C. elegans L4
712	38	C. elegans	L4	C. elegans L4
806	43	C. elegans	L4	C. elegans L4
748	42	C. elegans	L4	C. elegans L4
708	42	C. elegans	L4	C. elegans L4
779	40	C. elegans	L4	C. elegans L4
632	38	C. elegans	L4	C. elegans L4
691	39	C. elegans	L4	C. elegans L4
764	37	C. elegans	L4	C. elegans L4
767	43	C. elegans	L4	C. elegans L4
707	44	C. elegans	L4	C. elegans L4
736	45	C. elegans	L4	C. elegans L4
713	52	C. elegans	Young adult	C. elegans Young adult
860	51	C. elegans	Young adult	C. elegans Young adult
894	58	C. elegans	Young adult	C. elegans Young adult
833	52	C. elegans	Young adult	C. elegans Young adult
771	39	C. elegans	Young adult	C. elegans Young adult
686	37	C. elegans	Young adult	C. elegans Young adult
810	58	C. elegans	Young adult	C. elegans Young adult
818	51	C. elegans	Young adult	C. elegans Young adult
940	58	C. elegans	Young adult	C. elegans Young adult
767	44	C. elegans	Young adult	C. elegans Young adult
855	44	C. elegans	Young adult	C. elegans Young adult
879	43	C. elegans	Young adult	C. elegans Young adult
719	46	C. elegans	Young adult	C. elegans Young adult
815	54	C. elegans	Young adult	C. elegans Young adult
818	50	C. elegans	Young adult	C. elegans Young adult
824	65	C. elegans	Young adult	C. elegans Young adult
844	54	C. elegans	Young adult	C. elegans Young adult
1022	59	C. elegans	Young adult	C. elegans Young adult
817	50	C. elegans	Young adult	C. elegans Young adult
880	49	C. elegans	Young adult	C. elegans Young adult
896	50	C. elegans	Young adult	C. elegans Young adult
912	47	C. elegans	Young adult	C. elegans Young adult
813	50	C. elegans	Young adult	C. elegans Young adult
836	51	C. elegans	Young adult	C. elegans Young adult
855	46	C. elegans	Young adult	C. elegans Young adult
883	53	C. elegans	Young adult	C. elegans Young adult
748	47	C. elegans	Young adult	C. elegans Young adult
812	45	C. elegans	Young adult	C. elegans Young adult
814	55	C. elegans	Young adult	C. elegans Young adult
827	58	C. elegans	Young adult	C. elegans Young adult
940	65	C. elegans	Gravid adult	C. elegans Gravid adult
990	73	C. elegans	Gravid adult	C. elegans Gravid adult
938	59	C. elegans	Gravid adult	C. elegans Gravid adult
979	79	C. elegans	Gravid adult	C. elegans Gravid adult
842	48	C. elegans	Gravid adult	C. elegans Gravid adult
982	60	C. elegans	Gravid adult	C. elegans Gravid adult
931	60	C. elegans	Gravid adult	C. elegans Gravid adult
1037	70	C. elegans	Gravid adult	C. elegans Gravid adult
1050	74	C. elegans	Gravid adult	C. elegans Gravid adult
949	62	C. elegans	Gravid adult	C. elegans Gravid adult
921	59	C. elegans	Gravid adult	C. elegans Gravid adult
989	70	C. elegans	Gravid adult	C. elegans Gravid adult
1143	74	C. elegans	Gravid adult	C. elegans Gravid adult
966	82	C. elegans	Gravid adult	C. elegans Gravid adult
1106	67	C. elegans	Gravid adult	C. elegans Gravid adult
904	59	C. elegans	Gravid adult	C. elegans Gravid adult
918	55	C. elegans	Gravid adult	C. elegans Gravid adult
891	56	C. elegans	Gravid adult	C. elegans Gravid adult
923	61	C. elegans	Gravid adult	C. elegans Gravid adult
971	71	C. elegans	Gravid adult	C. elegans Gravid adult
1084	73	C. elegans	Gravid adult	C. elegans Gravid adult
1106	66	C. elegans	Gravid adult	C. elegans Gravid adult
1079	74	C. elegans	Gravid adult	C. elegans Gravid adult
951	70	C. elegans	Gravid adult	C. elegans Gravid adult
918	59	C. elegans	Gravid adult	C. elegans Gravid adult
1088	71	C. elegans	Gravid adult	C. elegans Gravid adult
912	58	C. elegans	Gravid adult	C. elegans Gravid adult
896	58	C. elegans	Gravid adult	C. elegans Gravid adult
1045	70	C. elegans	Gravid adult	C. elegans Gravid adult
1083	68	C. elegans	Gravid adult	C. elegans Gravid adult
1057	75	C. elegans	Gravid adult	C. elegans Gravid adult
861	58	C. elegans	Gravid adult	C. elegans Gravid adult
920	52	C. elegans	Gravid adult	C. elegans Gravid adult
942	70	C. elegans	Gravid adult	C. elegans Gravid adult
958	60	C. elegans	Gravid adult	C. elegans Gravid adult
896	61	C. elegans	Gravid adult	C. elegans Gravid adult
1110	72	C. elegans	Gravid adult	C. elegans Gravid adult
991	54	C. elegans	Gravid adult	C. elegans Gravid adult
